,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Narsaq,20,GL,1569644580,69,60.91,-46.05,39.2,2.24
1,Luganville,75,VU,1569644581,69,-15.51,167.18,82.4,12.75
2,Hermanus,100,ZA,1569645036,87,-34.42,19.24,64.0,5.99
3,Carutapera,60,BR,1569645037,75,-1.2,-46.02,80.09,9.37
4,Padang,63,ID,1569645038,85,-0.92,100.36,79.24,16.11
5,Qaanaaq,100,GL,1569645040,46,77.48,-69.36,38.25,11.95
6,Norman Wells,75,CA,1569644583,60,65.28,-126.83,41.0,4.7
7,Igboho,98,NG,1569644316,90,8.84,3.76,70.74,4.16
8,Barra,4,BR,1569644583,45,-11.09,-43.14,77.22,3.8
9,Hobart,75,AU,1569644671,38,-42.88,147.33,60.8,17.22
10,Bredasdorp,100,ZA,1569644721,77,-34.53,20.04,64.0,13.87
11,Kansanshi,80,ZM,1569644584,63,-12.1,26.43,50.22,6.2
12,Mataura,96,NZ,1569644722,84,-46.19,168.86,53.01,18.01
13,Albany,40,US,1569644540,71,42.65,-73.75,61.0,4.7
14,Lagoa,0,PT,1569645051,68,37.14,-8.45,66.2,1.12
15,Coihaique,0,CL,1569645052,66,-45.58,-72.07,48.2,2.24
16,Bambous Virieux,40,MU,1569644723,69,-20.34,57.76,75.99,12.75
17,Longyearbyen,75,NO,1569645055,79,78.22,15.63,26.6,5.82
18,Saint-Joseph,0,FR,1569645056,87,43.56,6.97,66.2,3.36
19,Port Hardy,20,CA,1569645057,62,50.7,-127.42,53.6,14.99
20,Tilichiki,100,RU,1569645059,78,60.47,166.1,39.26,8.01
21,Yellowknife,20,CA,1569645060,86,62.45,-114.38,33.8,9.17
22,Churapcha,99,RU,1569645061,78,62.0,132.43,38.29,11.23
23,Georgetown,0,GY,1569644725,100,6.8,-58.16,75.2,5.08
24,Fairhope,1,US,1569645064,100,30.52,-87.9,81.0,5.17
25,Leku,100,ET,1569645066,88,6.87,38.44,60.83,1.92
26,Hami,12,CN,1569645067,14,42.84,93.51,85.83,8.72
27,Pasighat,83,IN,1569645068,50,28.06,95.33,84.21,3.69
28,Saskylakh,94,RU,1569645070,76,71.97,114.09,32.78,8.75
29,Monroe,90,US,1569645031,88,41.91,-83.4,68.0,6.93
30,Goderich,94,CA,1569645012,85,43.74,-81.71,66.0,7.0
31,Saint-Philippe,90,CA,1569644727,82,45.36,-73.48,63.0,4.7
32,Barrow,97,AR,1569645075,70,-38.31,-60.23,52.67,15.35
33,Medea,0,DZ,1569645076,93,36.27,2.77,62.6,1.43
34,Dunedin,83,NZ,1569645078,79,-45.87,170.5,53.29,12.8
35,Bluff,0,AU,1569644727,30,-23.58,149.07,84.24,2.39
36,Tasiilaq,0,GL,1569644728,88,65.61,-37.64,37.4,1.12
37,Clyde River,90,CA,1569645081,100,70.47,-68.59,35.6,4.7
38,Thompson,90,CA,1569645083,59,55.74,-97.86,35.6,8.05
39,Baykit,63,RU,1569645084,60,61.68,96.39,36.83,6.2
40,Pitimbu,20,BR,1569645085,94,-7.47,-34.81,71.6,2.24
41,Codrington,75,AU,1569645087,21,-28.95,153.24,89.6,14.99
42,Butaritari,0,KI,1569644729,62,3.07,172.79,85.14,7.16
43,Ahipara,32,NZ,1569644859,77,-35.17,173.16,64.0,13.0
44,Punta Arenas,0,CL,1569644730,81,-53.16,-70.91,42.8,5.82
45,Carnarvon,4,ZA,1569645092,11,-30.97,22.13,64.59,9.98
46,Bondoukou,100,CI,1569645093,97,8.04,-2.8,70.19,2.08
47,Beloha,57,MG,1569645094,59,-25.17,45.06,76.5,11.7
48,Canutama,94,BR,1569645096,93,-6.53,-64.38,73.43,2.15
49,Busselton,0,AU,1569644731,42,-33.64,115.35,73.99,5.1
50,Henties Bay,0,NA,1569645098,92,-22.12,14.28,61.0,3.0
51,Standerton,5,ZA,1569645100,23,-26.94,29.24,61.37,0.78
52,Iqaluit,90,CA,1569644731,100,63.75,-68.52,37.4,3.36
53,Boissevain,1,CA,1569645102,69,49.23,-100.06,43.0,8.05
54,Poum,0,MK,1569645103,87,41.28,20.71,48.2,5.82
55,Vaini,75,IN,1569645105,78,15.34,74.49,75.2,9.17
56,Sitka,0,US,1569644854,85,37.17,-99.65,69.01,18.01
57,Vostok,0,RU,1569645107,49,46.45,135.83,74.76,5.99
58,Souillac,0,FR,1569645109,93,45.6,-0.6,60.01,3.36
59,Geraldton,40,CA,1569644891,100,49.72,-86.95,33.8,2.24
60,Chuy,89,UY,1569645112,80,-33.69,-53.46,55.18,11.52
61,Cape Town,0,ZA,1569644485,93,-33.93,18.42,64.0,3.36
62,Kununurra,0,AU,1569644839,25,-15.77,128.74,100.4,9.17
63,Avera,1,US,1569645116,88,33.19,-82.53,79.0,6.93
64,Kargasok,100,RU,1569645117,77,59.06,80.87,40.85,3.56
65,Fare,3,PF,1569645119,83,-16.7,-151.02,78.7,14.18
66,San Patricio,0,PY,1569645120,75,-26.98,-56.83,60.63,6.76
67,Zhuhai,18,CN,1569645121,49,40.71,112.04,68.0,4.47
68,Half Moon Bay,90,US,1569645122,87,37.46,-122.43,60.01,4.7
69,Ushuaia,40,AR,1569644594,70,-54.81,-68.31,46.4,4.23
70,Kaitangata,100,NZ,1569645125,66,-46.28,169.85,55.99,13.0
71,San Quintin,60,PH,1569645126,71,17.54,120.52,84.57,6.51
72,Rikitea,45,PF,1569644736,77,-23.12,-134.97,73.62,9.73
